Episode Number,Pitch Number,Company,Idea,Industry,Investment,Debt,Equity,Ashneer,Anupam,Namita,Aman,Vineeta,Peyush,Ghazal,Deal_status,Num_Investors
1,1,BluePine Industries,Frozen Momos,Food,7500000.0,0.0,0.18,1,0,0,1,1,0,0,Funded,3
1,2,Booz scooters,Renting e-bike for mobility in private spaces,Bikes,4000000.0,0.0,0.5,1,0,0,0,1,0,0,Funded,2
1,3,Heart up my Sleeves,Detachable Sleeves,Fashion/Beauty,2500000.0,0.0,0.3,0,1,0,0,1,0,0,Funded,2
2,4,Tagz Foods,Healthy Potato Chips,Food,7000000.0,0.0,0.03,1,0,0,0,0,0,0,Funded,1
2,5,Head and Heart,Brain Development Course,Education Technology,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
2,6,Agro tourism,Tourism,Tourism,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
3,7,Qzense Labs,Food Freshness Detector,Food,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
3,8,Peeschute,Disposable Urine Bag,Hygeine,7500000.0,0.0,0.06,0,0,0,1,0,0,0,Funded,1
3,9,NOCD,Energy Drink,Food,2000000.0,3000000.0,0.15,0,0,0,0,1,0,0,Funded,1
4,10,Cosiq,Intelligent Skincare,Healthcare,5000000.0,0.0,0.25,0,1,0,0,1,0,0,Funded,2
4,11,JhaJi Achaar,Pickle,Food,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
4,12,Bummer,Underwear,Fashion/Beauty,7500000.0,0.0,0.08,0,0,1,1,0,0,0,Funded,2
5,13,Revamp Moto,E-Bike,Bikes,10000000.0,0.0,0.02,0,1,0,1,0,0,0,Funded,2
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,Food,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
5,15,Shrawani Engineers,Belly Button Shaper,Food,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
6,16,Skippi Pops,Ice-Pops,Food,10000000.0,0.0,0.15,1,1,1,1,1,0,0,Funded,5
6,17,Menstrupedia,Menstrual Awareness Comic,Hygeine,5000000.0,0.0,0.2,0,0,1,0,0,0,0,Funded,1
6,18,Hecolll,Pollution Resistant Fabric,Fashion/Beauty,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
7,19,Raising Superstars,Child Development App,Technology,10000000.0,0.0,0.04,1,0,0,1,0,0,0,Funded,2
7,20,Torch-it,Gadgets for visually impaired people,Social Cause,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
7,21,La Kheer Deli,Kheer in variety of flavors,Food,0.0,0.0,0.0,0,0,0,0,0,0,0,Not Funded,0
